"","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","percent_of_income","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","phone","default"
"508","1 - 200 DM",15,"very good","car",6850,"100 - 500 DM","unemployed",1,2,34,"none","own",1,"management",2,"yes","yes"
"307","unknown",30,"good","car",4811,"unknown","4 - 7 years",2,4,24,"store","rent",1,"unskilled",1,"no","no"
"427","unknown",28,"critical","furniture/appliances",2743,"< 100 DM","> 7 years",4,2,29,"none","own",2,"skilled",1,"no","no"
"692","1 - 200 DM",15,"good","renovations",2631,"100 - 500 DM","1 - 4 years",3,2,25,"none","own",1,"unskilled",1,"no","no"
"85","< 0 DM",10,"good","furniture/appliances",2315,"< 100 DM","> 7 years",3,4,52,"none","own",1,"unskilled",1,"no","no"
"225","unknown",15,"good","car",4657,"< 100 DM","1 - 4 years",3,2,30,"none","own",1,"skilled",1,"yes","no"
"273","1 - 200 DM",48,"very good","car",12169,"unknown","unemployed",4,4,36,"none","other",1,"management",1,"yes","no"
"271","unknown",18,"good","car",2662,"unknown","4 - 7 years",4,3,32,"none","own",1,"skilled",1,"no","no"
"611","< 0 DM",12,"good","furniture/appliances",741,"100 - 500 DM","unemployed",4,3,22,"none","own",1,"skilled",1,"no","yes"
"426","1 - 200 DM",18,"good","car",2779,"< 100 DM","1 - 4 years",1,3,21,"none","rent",1,"skilled",1,"yes","no"
"646","unknown",36,"poor","business",7980,"unknown","< 1 year",4,4,27,"none","rent",2,"skilled",1,"yes","yes"
"562","< 0 DM",24,"very good","furniture/appliances",1546,"< 100 DM","4 - 7 years",4,4,24,"bank","rent",1,"unskilled",1,"no","yes"
"113","1 - 200 DM",18,"good","car",6260,"< 100 DM","4 - 7 years",3,3,28,"none","rent",1,"unskilled",1,"no","no"
"589","< 0 DM",18,"good","furniture/appliances",1217,"< 100 DM","1 - 4 years",4,3,47,"none","own",1,"unskilled",1,"yes","yes"
"354","< 0 DM",12,"perfect","furniture/appliances",6199,"< 100 DM","1 - 4 years",4,2,28,"none","rent",2,"skilled",1,"yes","yes"
"423","1 - 200 DM",12,"critical","car",958,"< 100 DM","4 - 7 years",2,3,47,"none","own",2,"unskilled",2,"no","no"
"52","1 - 200 DM",27,"poor","car",5965,"< 100 DM","> 7 years",1,2,30,"none","own",2,"management",1,"yes","no"
"260","unknown",11,"critical","furniture/appliances",1154,"100 - 500 DM","unemployed",4,4,57,"none","own",3,"unskilled",1,"no","no"
"392","1 - 200 DM",12,"good","furniture/appliances",983,"> 1000 DM","< 1 year",1,4,19,"none","rent",1,"unskilled",1,"no","no"
"821","unknown",12,"good","car",1101,"< 100 DM","1 - 4 years",3,2,27,"none","own",2,"skilled",1,"yes","no"
"848","unknown",24,"good","car",1249,"< 100 DM","< 1 year",4,2,28,"none","own",1,"skilled",1,"no","no"
"603","1 - 200 DM",24,"very good","education",1837,"< 100 DM","4 - 7 years",4,4,34,"bank","other",1,"unskilled",1,"no","yes"
"759","unknown",24,"good","car",1393,"< 100 DM","1 - 4 years",2,2,31,"none","own",1,"skilled",1,"yes","no"
"348","1 - 200 DM",24,"good","furniture/appliances",3758,"500 - 1000 DM","unemployed",1,4,23,"none","rent",1,"unemployed",1,"no","no"
"397","< 0 DM",12,"good","furniture/appliances",2578,"< 100 DM","unemployed",3,4,55,"none","other",1,"management",1,"no","no"
"689","unknown",9,"good","furniture/appliances",2753,"100 - 500 DM","> 7 years",3,4,35,"none","own",1,"skilled",1,"yes","no"
"817","unknown",6,"good","furniture/appliances",1338,"500 - 1000 DM","1 - 4 years",1,4,62,"none","own",1,"skilled",1,"no","no"
"234","1 - 200 DM",18,"good","furniture/appliances",866,"< 100 DM","1 - 4 years",4,2,25,"none","own",1,"unskilled",1,"no","no"
